file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\dto\LoginResponse.java,cl.crtl.asistencia.dto.LoginResponse,class,4,8,4,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\service\EstudianteService.java,cl.crtl.asistencia.service.EstudianteService,class,4,5,1,4,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\controller\AuthController.java,cl.crtl.asistencia.controller.AuthController,class,9,9,0,9,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,3,0,1,0,2,1,0,0,0,11,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\AsistenciaApplication.java,cl.crtl.asistencia.AsistenciaApplication,class,2,3,1,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\controller\DocenteController.java,cl.crtl.asistencia.controller.DocenteController,class,9,9,0,9,1,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,14,3,0,0,0,0,8,1,2,0,3,1,0,0,2,12,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\dto\LoginRequest.java,cl.crtl.asistencia.dto.LoginRequest,class,3,5,2,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\config\SecurityConfig.java,cl.crtl.asistencia.config.SecurityConfig,class,8,8,0,8,1,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,13,0,0,0,5,1,0,0,4,19,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\repository\EstudianteRepository.java,cl.crtl.asistencia.repository.EstudianteRepository,interface,3,5,2,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\model\Asignatura.java,cl.crtl.asistencia.model.Asignatura,class,12,13,1,12,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,4,0,0,0,0,13,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\model\Estudiante.java,cl.crtl.asistencia.model.Estudiante,class,12,16,4,12,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,7,0,0,0,0,16,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\model\Asistencia.java,cl.crtl.asistencia.model.Asistencia,class,13,15,2,13,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,5,0,0,0,0,17,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\controller\AdministrativoController.java,cl.crtl.asistencia.controller.AdministrativoController,class,13,13,0,13,7,1,0,9,0,0.16666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,30,7,0,1,0,0,9,0,4,0,5,1,0,0,0,24,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\service\DocenteService.java,cl.crtl.asistencia.service.DocenteService,class,4,5,1,4,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\config\JwtAuthenticationFilter.java,cl.crtl.asistencia.config.JwtAuthenticationFilter,class,11,12,1,11,7,2,0,14,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,27,1,0,3,1,0,4,1,6,1,7,3,0,0,0,37,1,1
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\controller\EstudianteController.java,cl.crtl.asistencia.controller.EstudianteController,class,9,9,0,9,1,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,14,3,0,0,0,0,8,1,2,0,3,1,0,0,2,12,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\repository\AdministrativoRepository.java,cl.crtl.asistencia.repository.AdministrativoRepository,interface,3,5,2,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\model\Docente.java,cl.crtl.asistencia.model.Docente,class,12,16,4,12,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,7,0,0,0,0,16,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\service\AuthService.java,cl.crtl.asistencia.service.AuthService,class,11,12,1,11,7,1,0,18,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,4,0,0,4,0,0,39,7,0,0,0,0,23,0,6,3,10,2,0,0,0,19,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\service\AdministrativoService.java,cl.crtl.asistencia.service.AdministrativoService,class,4,5,1,4,5,1,0,7,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,18,4,0,0,0,0,0,0,0,0,1,0,0,0,0,17,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\config\CorsConfig.java,cl.crtl.asistencia.config.CorsConfig,class,5,5,0,5,1,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,13,1,0,0,0,0,9,0,2,0,2,0,0,0,0,11,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\model\Clase.java,cl.crtl.asistencia.model.Clase,class,16,19,3,16,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,5,0,0,0,0,17,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\repository\DocenteRepository.java,cl.crtl.asistencia.repository.DocenteRepository,interface,3,5,2,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\model\Administrativo.java,cl.crtl.asistencia.model.Administrativo,class,9,13,4,9,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,6,0,0,0,0,13,1,0
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\config\JwtUtil.java,cl.crtl.asistencia.config.JwtUtil,class,3,6,3,3,8,1,0,25,28,0.875,0.0,0.0,8,0,6,2,0,0,6,0,0,0,2,2,0,2,0,0,2,0,1,31,8,0,0,0,1,5,1,3,1,3,0,0,0,0,38,1,0
