file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\service\EstudianteService.java,cl.crtl.asistencia.service.EstudianteService,"login/2[java.lang.String,java.lang.String]",false,15,2,2,1,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\service\EstudianteService.java,cl.crtl.asistencia.service.EstudianteService,buscarPorCorreo/1[java.lang.String],false,19,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\controller\AuthController.java,cl.crtl.asistencia.controller.AuthController,login/1[cl.crtl.asistencia.dto.LoginRequest],false,18,6,1,0,1,2,6,9,2,1,1,6,0,0,0,0,0,0,2,0,1,0,1,0,0,0,6,1,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\AsistenciaApplication.java,cl.crtl.asistencia.AsistenciaApplication,main/1[java.lang.String[]],false,9,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\controller\DocenteController.java,cl.crtl.asistencia.controller.DocenteController,"login/2[java.lang.String,java.lang.String]",false,19,5,2,0,2,1,7,11,3,2,2,7,0,0,0,0,0,0,6,1,2,0,1,0,0,2,7,1,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\config\SecurityConfig.java,cl.crtl.asistencia.config.SecurityConfig,securityFilterChain/1[cl.crtl.asistencia.config.HttpSecurity],false,20,4,0,0,0,1,14,6,1,4,1,14,0,0,0,0,0,0,13,0,0,0,1,0,0,4,15,1,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\repository\EstudianteRepository.java,cl.crtl.asistencia.repository.EstudianteRepository,"findByCorreoAndContrasenia/2[java.lang.String,java.lang.String]",false,10,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\repository\EstudianteRepository.java,cl.crtl.asistencia.repository.EstudianteRepository,findByCorreo/1[java.lang.String],false,11,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\controller\AdministrativoController.java,cl.crtl.asistencia.controller.AdministrativoController,eliminar/1[java.lang.Long],false,55,4,1,0,1,1,3,4,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\controller\AdministrativoController.java,cl.crtl.asistencia.controller.AdministrativoController,test/0,false,22,2,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\controller\AdministrativoController.java,cl.crtl.asistencia.controller.AdministrativoController,obtenerPorId/1[java.lang.Long],false,33,5,1,0,1,2,4,7,2,1,1,4,0,0,0,1,0,0,1,0,1,0,1,0,0,0,8,1,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\controller\AdministrativoController.java,cl.crtl.asistencia.controller.AdministrativoController,crear/1[cl.crtl.asistencia.model.Administrativo],false,42,5,1,0,1,1,2,4,1,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\controller\AdministrativoController.java,cl.crtl.asistencia.controller.AdministrativoController,"actualizar/2[java.lang.Long,cl.crtl.asistencia.model.Administrativo]",false,48,6,1,0,1,1,3,5,1,1,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\controller\AdministrativoController.java,cl.crtl.asistencia.controller.AdministrativoController,listar/0,false,27,4,1,0,1,1,2,4,1,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\service\DocenteService.java,cl.crtl.asistencia.service.DocenteService,"login/2[java.lang.String,java.lang.String]",false,15,2,2,1,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\service\DocenteService.java,cl.crtl.asistencia.service.DocenteService,buscarPorCorreo/1[java.lang.String],false,19,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\config\JwtAuthenticationFilter.java,cl.crtl.asistencia.config.JwtAuthenticationFilter,"doFilterInternal/3[cl.crtl.asistencia.config.HttpServletRequest,cl.crtl.asistencia.config.HttpServletResponse,cl.crtl.asistencia.config.FilterChain]",false,30,8,3,0,3,7,14,24,1,6,3,14,0,0,0,3,1,0,4,1,6,1,3,0,0,0,33,4,1,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\controller\EstudianteController.java,cl.crtl.asistencia.controller.EstudianteController,"login/2[java.lang.String,java.lang.String]",false,19,5,2,0,2,1,7,11,3,2,2,7,0,0,0,0,0,0,6,1,2,0,1,0,0,2,7,1,0,false
D:\proyectoPedorro\CtrlAsistencia\backend-ctrlAsistencia\asistencia\src\main\java\cl\crtl\asistencia\repository\AdministrativoRepository.java,cl.crtl.asistencia.repository.AdministrativoRepository,"findByCorreoAndContrasenia/2[java.lang.String,java.lang.String]",false,10,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
